index,words,todi,words_ocr,todi_ocr,sound_file,image_file,type,page_title,exercise_id,sound_url,image_url,page_url,words_sep,todi_sep
006, Waar wil Marina haar mandoline verkopen ,%L H*L      L%,,,exercises/006.wav,exercises/006.png,exercise,,ex1a_11,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/006.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//006.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_11.htm,|Waar|wil|Marina|haar|mandoline|verkopen|,%L|H*L||||||L%
027, Dat doet-ie met zijn slurf natuurlijk ,%L     H*L  L%,,,exercises/027.wav,exercises/027.png,exercise,,ex1a_12,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio/027.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/audio//png//027.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1a/ex1a_12.htm,|Dat|doet-ie|met|zijn|slurf|natuurlijk|,%L|||||H*L||L%
173, Iets voorbij Hengelo ,%L   H*L H%,,,exercises/173.wav,exercises/173.png,exercise,,ex1b1_1,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/173.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//173.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_1.htm,|Iets|voorbij|Hengelo|,%L|||H*L|H%
254, En is je kat nog teruggekomen ,%L    H*L   H%,,,exercises/254.wav,exercises/254.png,exercise,,ex1b1_2,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/254.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//254.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_2.htm,|En|is|je|kat|nog|teruggekomen|,%L||||H*L|||H%
165, We hebben de hele dag binnen gezeten ,%L    H*L  H*L  %,,,exercises/165.wav,exercises/165.png,exercise,,ex1b1_3,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/165.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//165.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_3.htm,|We|hebben|de|hele|dag|binnen|gezeten|,%L||||H*L||H*L||%
186, Zijn er meloenen teveel ,%L   H*L  L%,,,exercises/186.wav,exercises/186.png,exercise,,ex1b1_4,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/186.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//186.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_4.htm,|Zijn|er|meloenen|teveel|,%L|||H*L||L%
1b1-5, Ze hebben zoveel ,%L  H*L  %,,,exercises/1b1-5.wav,exercises/1b1-5.png,exercise,,ex1b1_5,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/1b1-5.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//1b1-5.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_5.htm,|Ze|hebben|zoveel|,%L||H*L||%
1b1-6, Je kan ook gewoon van Carlos gouddeeltjes vragen van-die-en-die grootte ,%L       H*L    L%,,,exercises/1b1-6.wav,exercises/1b1-6.png,exercise,,ex1b1_6,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/1b1-6.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//1b1-6.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_6.htm,|Je|kan|ook|gewoon|van|Carlos|gouddeeltjes|vragen|van-die-en-die|grootte|,%L|||||||H*L||||L%
101, Wat zullen we nu krijgen ,%L    H*L  %,,,exercises/101.wav,exercises/101.png,exercise,,ex1b1_7,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/101.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//101.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_7.htm,|Wat|zullen|we|nu|krijgen|,%L||||H*L||%
258, Maar weet je dan geen betere ,%L  H*L     H%,,,exercises/258.wav,exercises/258.png,exercise,,ex1b1_8,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/258.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//258.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_8.htm,|Maar|weet|je|dan|geen|betere|,%L||H*L|||||H%
284, Dat vindt ze heerlijk ,%L    H*L L%,,,exercises/284.wav,exercises/284.png,exercise,,ex1b1_9,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/284.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//284.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_9.htm,|Dat|vindt|ze|heerlijk|,%L||||H*L|L%
1b1-10, Ik zit op muziekles ,%L  H*L  H*L L%,,,exercises/1b1-10.wav,exercises/1b1-10.png,exercise,,ex1b1_10,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/1b1-10.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//1b1-10.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_10.htm,|Ik|zit|op|muziekles|,%L||H*L||H*L|L%
1b1-11, Hoe gaat 't met jullie? ,%L  H*L    H%,,,exercises/1b1-11.wav,exercises/1b1-11.png,exercise,,ex1b1_11,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/1b1-11.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//1b1-11.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_11.htm,|Hoe|gaat|'t|met|jullie?|,%L||H*L||||H%
1b1-12, Is de hond al uitgelaten ,%L   H*L   %,,,exercises/1b1-12.wav,exercises/1b1-12.png,exercise,,ex1b1_12,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio/1b1-12.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/audio//png//1b1-12.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1b1/ex1b1_12.htm,|Is|de|hond|al|uitgelaten|,%L|||H*L|||%
118, Fietsen is in 't hele park verboden ,%L H*    !H*  !H*L L%,,,exercises/118.wav,exercises/118.png,exercise,,ex1c1_1,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/118.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//118.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_1.htm,|Fietsen|is|in|'t|hele|park|verboden|,%L|H*||||!H*||!H*L|L%
133, Fietsen is in 't hele park verboden ,%L H*L    !H*L  !H*L L%,,,exercises/133.wav,exercises/133.png,exercise,,ex1c1_2,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/133.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//133.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_2.htm,|Fietsen|is|in|'t|hele|park|verboden|,%L|H*L||||!H*L||!H*L|L%
167, Dat moet je straks maar even over doen ,%L    H*L   H*L  %,,,exercises/167.wav,exercises/167.png,exercise,,ex1c1_3,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/167.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//167.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_3.htm,|Dat|moet|je|straks|maar|even|over|doen|,%L||||H*L|||H*L||%
157, Dat moet je straks maar even over doen ,%L    H*   !H*L  L%,,,exercises/157.wav,exercises/157.png,exercise,,ex1c1_4,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/157.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//157.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_4.htm,|Dat|moet|je|straks|maar|even|over|doen|,%L||||H*|||!H*L||L%
006, Waar wil Marina haar mandoline verkopen ,%L H*L      L%,,,exercises/006.wav,exercises/006.png,exercise,,ex1c1_5,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/006.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//006.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_5.htm,|Waar|wil|Marina|haar|mandoline|verkopen|,%L|H*L||||||L%
1c1-6, Je bent ook wel nieuwsgierig van wat maken ze d'rvan ,%L     H*L   H*L   L%,,,exercises/1c1-6.wav,exercises/1c1-6.png,exercise,,ex1c1_6,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-6.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-6.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_6.htm,|Je|bent|ook|wel|nieuwsgierig|van|wat|maken|ze|d'rvan|,%L|||||H*L|||H*L|||L%
1c1-7, zij heeft eendjes ,%L H*L  H*L L%,,,exercises/1c1-7.wav,exercises/1c1-7.png,exercise,,ex1c1_7,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-7.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-7.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_7.htm,|zij|heeft|eendjes|,%L|H*L||H*L|L%
1c1-8, de kerk laat je nog even rechts liggen ,%L  H*     !H*L  L%,,,exercises/1c1-8.wav,exercises/1c1-8.png,exercise,,ex1c1_8,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-8.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-8.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_8.htm,|de|kerk|laat|je|nog|even|rechts|liggen|,%L||H*|||||!H*L||L%
1c1-9, ik heb eerst heb ik een boom en een fabriek ,%L   H*L    H*L   !H*L L%,,,exercises/1c1-9.wav,exercises/1c1-9.png,exercise,,ex1c1_9,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-9.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-9.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_9.htm,|ik|heb|eerst|heb|ik|een|boom|en|een|fabriek|,%L|||H*L||||H*L|||!H*L|L%
1c1-10, je gaat rechts langs de fiets ,%L   H*  !H*L L%,,,exercises/1c1-10.wav,exercises/1c1-10.png,exercise,,ex1c1_10,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-10.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-10.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_10.htm,|je|gaat|rechts|langs de|fiets|,%L|||H*||!H*L|L%
1c1-11, je blijft rechts van het huis ,%L   H*   !H*L L%,,,exercises/1c1-11.wav,exercises/1c1-11.png,exercise,,ex1c1_11,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-11.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-11.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_11.htm,|je|blijft|rechts|van|het|huis|,%L|||H*|||!H*L|L%
1c1-12, en dat betreft dan vooral mensen die geraakt zijn door rondvliegend glas ,%L   H*L   H*L  H*L   H*L H*L L%,,,exercises/1c1-12.wav,exercises/1c1-12.png,exercise,,ex1c1_12,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio/1c1-12.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/audio//png//1c1-12.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1c1/ex1c1_12.htm,|en|dat|betreft|dan|vooral|mensen|die|geraakt|zijn|door|rondvliegend|glas|,%L|||H*L|||H*L||H*L|||H*L|H*L|L%
342, Nu doen we deze ,%L H*   !H*L L%,,,exercises/342.wav,exercises/342.png,exercise,,ex1d_1,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/342.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//342.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_1.htm,|Nu|doen|we|deze|,%L|H*|||!H*L|L%
348, Al die ingewikkelde regelingen zijn afgeschaft ,%L H*  !H* !H*  !H*L H%,,,exercises/348.wav,exercises/348.png,exercise,,ex1d_2,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/348.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//348.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_2.htm,|Al|die|ingewikkelde|regelingen|zijn|afgeschaft|,%L|H*||!H*|!H*||!H*L|H%
339, Zo had ik het niet bedoeld ,%L H*LH     !H*L L%,,,exercises/339.wav,exercises/339.png,exercise,,ex1d_3,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/339.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//339.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_3.htm,|Zo|had|ik|het|niet|bedoeld|,%L|H*LH|||||!H*L|L%
349, Al die regelingen zijn afgeschaft ,%L H*L    H*L H%,,,exercises/349.wav,exercises/349.png,exercise,,ex1d_4,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/349.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//349.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_4.htm,|Al|die|regelingen|zijn|afgeschaft|,%L|H*L||||H*L|H%
341, Dat vind ik eigenlijk wel leuk ,%L H*LH     !H*L L%,,,exercises/341.wav,exercises/341.png,exercise,,ex1d_5,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/341.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//341.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_5.htm,|Dat|vind|ik|eigenlijk|wel|leuk|,%L|H*LH|||||!H*L|L%
1d-6, Maar daar moet dus dan een psycholoog of een orthopedagoog werken ,%L   H*LH       H*L %,,,exercises/1d-6.wav,exercises/1d-6.png,exercise,,ex1d_6,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-6.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-6.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_6.htm,|Maar|daar|moet|dus|dan|een|psycholoog|of een|orthopedagoog|werken|,%L|||H*LH|||||||H*L|%
294, En ze ademen ,%L   H*L %,,,exercises/294.wav,exercises/294.png,exercise,,ex1d_7,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/294.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//294.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_7.htm,|En|ze|ademen|,%L|||H*L|%
1d-8, de Amerikanen laten nog even op zich wachten ,%L   H*L     H* %,,,exercises/1d-8.wav,exercises/1d-8.png,exercise,,ex1d_8,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-8.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-8.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_8.htm,|de|Amerikanen|laten|nog|even|op|zich|wachten|,%L|||H*L|||||H*|%
1d-9, hier spreekt de economie ,%L H*   !H*L L%,,,exercises/1d-9.wav,exercises/1d-9.png,exercise,,ex1d_9,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-9.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-9.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_9.htm,|hier|spreekt|de|economie|,%L|H*|||!H*L|L%
1d-10, ik dank U vriendelijk ,%L  H*  H*L L%,,,exercises/1d-10.wav,exercises/1d-10.png,exercise,,ex1d_10,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-10.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-10.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_10.htm,|ik|dank|U|vriendelijk|,%L||H*||H*L|L%
1d-11, nou ik wil d'r wel harde afspraken over maken ,%L H*L     H*L H*L   H%,,,exercises/1d-11.wav,exercises/1d-11.png,exercise,,ex1d_11,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-11.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-11.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_11.htm,|nou|ik|wil|d'r|wel|harde|afspraken|over|maken|,%L|H*L|||||H*L|H*L|||H%
1d-12, Met steeds weer een nieuwe pen gaat 't beter ,%L        H*L H%,,,exercises/1d-12.wav,exercises/1d-12.png,exercise,,ex1d_12,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio/1d-12.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/audio//png//1d-12.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1d/ex1d_12.htm,|Met|steeds|weer|een|nieuwe|pen|gaat 't|beter|,%L||||||||H*L|H%
005, Onze poes moet wat eten hebben ,%L  H*L   H*L  L%,,,exercises/005.wav,exercises/005.png,exercise,,ex1e_1,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/005.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//005.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_1.htm,|Onze|poes|moet|wat|eten|hebben|,%L||H*L|||H*L||L%
295, Ze zijn heel zacht ,%L   H* !H*L L%,,,exercises/295.wav,exercises/295.png,exercise,,ex1e_2,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/295.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//295.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_2.htm,|Ze|zijn|heel|zacht|,%L|||H*|!H*L|L%
094, Op de trap had ze weer het gevoel dat er iemand achter haar aankwam ,%L   H*L   !H*L  !H*L  !H*L   !H*L L%,,,exercises/094.wav,exercises/094.png,exercise,,ex1e_3,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/094.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//094.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_3.htm,|Op|de|trap|had|ze|weer|het|gevoel|dat er|iemand|achter|haar|aankwam|,%L|||H*L|||!H*L||!H*L||!H*L|||!H*L|L%
255, U hoeft immers geen belasting te betalen ,%L     H*L   H%,,,exercises/255.wav,exercises/255.png,exercise,,ex1e_4,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/255.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//255.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_4.htm,|U|hoeft|immers|geen|belasting|te|betalen|,%L|||||H*L|||H%
085, Maar waarom vraag je mij in het bijzonder ,%L    H*L   L%,,,exercises/085.wav,exercises/085.png,exercise,,ex1e_5,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/085.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//085.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_5.htm,|Maar|waarom|vraag je|mij|in het|bijzonder|,%L||||H*L|||L%
297, Fietsen is in 't hele park verboden ,%L H*L    !H*L  !H*L L%,,,exercises/297.wav,exercises/297.png,exercise,,ex1e_6,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/297.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//297.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_6.htm,|Fietsen|is|in|'t|hele|park|verboden|,%L|H*L||||!H*L||!H*L|L%
164, D'r moet nog maar 'ns over gepraat worden ,%L      H*L  %,,,exercises/164.wav,exercises/164.png,exercise,,ex1e_7,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/164.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//164.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_7.htm,|D'r|moet|nog|maar 'ns|over|gepraat|worden|,%L||||||H*L||%
119, Bij oma kun je de hele tijd taartjes eten ,%L  H*   !H*  !H*L  L%,,,exercises/119.wav,exercises/119.png,exercise,,ex1e_8,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/119.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//119.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_8.htm,|Bij|oma|kun|je de|hele|tijd|taartjes|eten|,%L||H*|||!H*||!H*L||L%
299, Hoe ver ben je met de verjaardag van Arnoutje ,%L   H*L      H*L %,,,exercises/299.wav,exercises/299.png,exercise,,ex1e_9,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/299.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//299.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_9.htm,|Hoe|ver|ben|je|met|de|verjaardag|van|Arnoutje|,%L|||H*L||||||H*L|%
293, Ze helpen om haar billetjes prachtig droog te houden ,%L  H*L     H*L  %,,,exercises/293.wav,exercises/293.png,exercise,,ex1e_10,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/293.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//293.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_10.htm,|Ze|helpen|om|haar|billetjes|prachtig|droog|te houden|,%L||H*L|||||H*L||%
153, De meesten waren heel slecht daarop voorbereid ,%L  H*L  H* !H*  !H*L L%,,,exercises/153.wav,exercises/153.png,exercise,,ex1e_11,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio/153.wav,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/audio//png//153.png,https://todi.cls.ru.nl/ToDI/ToDIpraat_1e/ex1e_11.htm,|De|meesten|waren|heel|slecht|daarop|voorbereid|,%L||H*L||H*|!H*||!H*L|L%
